Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,0439023513,9780439023511,4,4.05,Scholastic Press,Hardcover,398,2010,2010,,5/9/2021,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,0439023483,9780439023481,5,4.32,Scholastic Press,Hardcover,374,2008,2008,,5/9/2021,,,read,,,,1,,,0,,,,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,0439023491,9780439023498,4,4.29,Scholastic Press,Hardcover,391,2009,2009,,5/9/2021,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,5/9/2021,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,5,4.57,Scholastic Inc.,Paperback,652,2006,2005,,5/9/2021,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,5,4.5,Scholastic Inc.,Paperback,870,2004,2003,,5/9/2021,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,5,4.56,Scholastic,Paperback,734,2002,2000,,5/9/2021,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,5,4.57,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,5/9/2021,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439064864,9780439064866,5,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,5/9/2021,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.48,Scholastic Inc,Hardcover,309,2003,1997,,5/9/2021,,,read,,,,1,,,0,,,,,
31933069,"Winter in Paradise (Paradise, #1)",Elin Hilderbrand,"Hilderbrand, Elin",,0316435503,9780316435505,5,4.07,"Little, Brown and Company",ebook,320,2018,2018,,1/20/2021,,,read,,,,1,,,0,,,,,
32498122,The Identicals,Elin Hilderbrand,"Hilderbrand, Elin",,031655247X,9780316552479,5,3.89,"Little, Brown and Company",Hardcover,581,2017,2017,,1/20/2021,,,read,,,,1,,,0,,,,,
