Rank,Title,Score
1,The Divan,4.576442665489127
2,Labyrinths: Selected Stories and Other Writings,4.440242596969393
3,Between the World and Me,4.395598527169415
4,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",4.354254523542699
5,Becoming,4.311487972839309
6,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",4.3111614057672
7,Where the Wild Things Are,4.291959136854731
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.2849873451300855
9,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.272500499657014
10,When Breath Becomes Air,4.260148550366875
