Rank,Title
1,Love The One You'Re With
2,"Something Borrowed (Darcy & Rachel, #1)"
3,Someone Like You
4,The Dive From Clausen'S Pier
5,My Sweet Audrina
6,Baby Proof
7,Just As Long As We'Re Together
8,Magic For Marigold
9,"Tempted (Alex Kennedy, #1)"
10,A Whole New Light
