Rank,Title
1,"The Walking Dead, Vol. 8: Made To Suffer"
2,"The Walking Dead, Vol. 03: Safety Behind Bars"
3,"The Walking Dead, Volume 1: Days Gone Bye"
4,"Alas, Babylon"
5,Cities Of The Red Night
6,Timeline
7,The Power Of One (Young Readers Condensed Edition)
8,Gone To Soldiers
9,Have A Nice Day: A Tale Of Blood And Sweatsocks
10,"Centaur Aisle (Xanth, #4)"
