Rank,Title,Score
1,The Divan,4.896670903328756
2,Labyrinths: Selected Stories and Other Writings,4.763556518466551
3,Between the World and Me,4.719333232610614
4,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",4.675309546485623
5,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",4.636797635647228
6,Becoming,4.635634135876106
7,Where the Wild Things Are,4.612328895050254
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.604042019560545
9,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.592719797737586
10,When Breath Becomes Air,4.58516277751521
